sessionId,action
00030DA3E70494C075D69A6F253F768B.i1,"130,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
00156FDF89AA7664B1E6099ED4E9C53A.i1,"130,160,160,160,160,160,100,160,160,160,160,160,130,170,160,160,160,160,160,160"
003E820C4EA7D35E3FBE482235990E17.i1,"189,130,130,100,160,160,160,160,160,160,160,160,160,160,160,130,101,160,160,189,160,160,160,160,160,160,160,189,130,160,160,160,160,160,160,160,160,160,160,130,100,100,160,130,189,130"
0055C3B38FEAAF248BAA2A6F5550297F.i1,"130,189,100,130,189,130"
0085B2F7781C739819F6E2FC2DEBECF7.i1,"189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,100,189,160,130"
00A1ED203DCD2F590532656DB6D96141.i1,"189,130"
00E59713A3A5BD67B1D75CA023FEDDB2.i1,"160,160,160,160,160,160,160,160,160,189,160,130,100,160,160,160,160,160,160,160,189,160,130"
0102FF3AF4BABBCADB33C69402A3462A.i1,"130,189,150,150,150"
012918E7181980557946913987A2988B.i1,"130,100,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
013AFC649B489262BEE6C0C3A45579E7.i1,"160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,130,101,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130"
0144CF9D9EF6112E78A723B4F1C9DB96.i1,"189,160,130,160,160,160,160,160,160,160,160,160,130,100,160,160,189,160,160,160,160,160,160,160,160,160,160,130,100,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160"
015FE2DD2976EBEA67EAB9AE1933B95D.i1,"189,130,100,160,160,160,160,160,160,160,160,160,189,160,130"
016306E2FAF282B43DD4C9B534B3C1CF,"130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,101,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160"
0164AD4B86F1871E435B980FFADC1421.i1,"130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
016BC978DF777C16EC17B36243C90670,"130,100,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
01A8D99588ACCE64657C3C9E8E427569.i1,"160,160,160,160,160,160,160,160,160,151,189,160,130,100,160,160,160,160,160,160,160,160,160,189,160,130,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
01C3D38AB1982B65C39F00817CA805C2.i1,"130,100,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
