sessionId,action
01A8D99588ACCE64657C3C9E8E427569.i1,"160,160,160,160,160,160,160,160,160,151,189,160,130,100,160,160,160,160,160,160,160,160,160,189,160,130,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
0266031AC9F82E9E64A48C796E33B2D2.i1,"130,189,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,189,160,130,101,160,160,160,160,160,160,160,160,160,160,130,101,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,130,189,130,189,130"
035DFAE2D4F7FBA05AD40F9D107E99DF.i1,"189,160,130,160,160,160,160,160,160,160,160,160,189,160,130,100,160,160,160,160,160,160,160,160,160"
03F43E5632750C5F63FCE9C7A3497F7C.i1,"160,160,160,160,160,160,160,160,160,189,160,130,110,189,130,120,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160"
04C1C2FC8A58DEA6961CE181ADCD33DC.i1,"189,130,189,160,130,100,160,160,160,160,160,160,160,160,160"
05AA8F7C7CFB3A43D7BF6214F2D19312.i1,"189,130,160,160,160,160,160,160,160,160,160,160,100,130,101,160,160,160,160,160,160,160,160,160,189,160,130,130,160,160,160,160,160,160,160,160,160,160,100,189,160,160,160,160,160,160,160,160,160,160,130,101,160,160,160,160,160,160,160,160,160,160,130,160,189,160,130,101,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,101,189,160,160,160,160,160,160,160,160,160,160,130"
05DB1C714C75547CB72F8871CBE82346.i1,"189,130,100,189,160,130,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,110,189,189,160,130,151,160,160,160,160,160,160,160,160,160,151"
0747461EE01D371F5C70E6CB5D0A4A28.i1,"160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,130,100,101,160,160,160,160,160,160,160,160,160,189,160,130"
077109F89DA7D27817BEB70F705BC8FC.i1,"189,130,100,160,160,160,189,130,120,110,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,189,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,100,160,160,160,189,130,120,110,189,160,130,160,160,160,160,160,160,160,160,160,130,189,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,130"
08226D54E46886326DE7EC19D80B51DA.i1,"160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,130,100"
